title,body,source,timestamp,tags
Kerja Sama BEI dengan Nasdaq,testing,/api/api/publication/news/10651,2024-05-13T11:18:03,"IDX,NASDAQ"
Seremoni Pencatatan Perdana Saham  PT Xolare RCR Energy Tbk (SOLA) di Bursa Efek Indonesia,"Pada Rabu, 8 Mei 2024, perdagangan PT Bursa Efek Indonesia (BEI) dibuka dalam rangka pencatatan perdana saham PT Xolare RCR Energy Tbk (SOLA) di papan pengembangan BEI. SOLA merupakan perusahaan tercatat ke-24 yang tercatat di BEI pada tahun 2024.",/api/api/publication/news/10649,2024-05-08T12:03:17.927,SOLA
Pencatatan Perdana Saham PT Xolare RCR Energy Tbk (SOLA) di Bursa Efek Indonesia,"Pada Rabu, 8 Mei 2024, pembukaan perdagangan Bursa Efek Indonesia (BEI) dilakukan oleh PT Xolare RCR Energy Tbk (SOLA) dalam rangka pencatatan perdana saham di Papan Pengembangan BEI. SOLA menjadi perusahaan ke-24 yang tercatat di BEI pada tahun 2024. 
",/api/api/publication/news/10647,2024-05-07T21:19:34,SOLA
Seremoni Pencatatan Perdana Saham PT Remala Abadi Tbk (DATA) di Bursa Efek Indonesia,"Pada Selasa, 7 Mei 2024, perdagangan PT Bursa Efek Indonesia (BEI) dibuka dalam rangka pencatatan perdana saham PT Remala Abadi Tbk (DATA) di papan pengembangan BEI. DATA merupakan perusahaan tercatat ke-23 yang tercatat di BEI pada tahun 2024.",/api/api/publication/news/10645,2024-05-07T10:57:52,DATA
Pencatatan Perdana Saham PT Remala Abadi Tbk (DATA) di Bursa Efek Indonesia,"Pada Selasa, 7 Mei 2024, pembukaan perdagangan Bursa Efek Indonesia (BEI) dilakukan oleh PT Remala Abadi Tbk (DATA) dalam rangka pencatatan perdana saham di Papan Pengembangan BEI. DATA menjadi perusahaan ke-23 yang tercatat di BEI pada tahun 2024.",/api/api/publication/news/10643,2024-05-06T19:52:42,DATA
Pencatatan Obligasi Berkelanjutan VI Adira Finance Tahap III Tahun 2024 dan Sukuk Mudharabah Berkelanjutan V Adira Finance Tahap III Tahun 2024 pada tanggal 6 Mei 2024,"Pada 6 Mei 2024, Obligasi Berkelanjutan VI Adira Finance Tahap III Tahun 2024 dan Sukuk Mudharabah Berkelanjutan V Adira Finance Tahap III Tahun 2024 oleh PT Adira Multi Finance Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10641,2024-05-06T08:06:43.82,ADMF
"Kartini Pasar Modal ""Aku Perempuan Indonesia Investor Saham""",Testing,/api/api/publication/news/10637,2024-04-26T00:47:00,"IDX,Kartini,BEI"
Workshop Wartawan Daerah - Nusa Tenggara Barat,Testing,/api/api/publication/news/10639,2024-04-24T00:20:00,"IDX,BEI"
Pencatatan Obligasi Berkelanjutan VI Astra Sedaya Finance Tahap III Tahun 2024 pada tanggal 24 April 2024,"Pada 24 April 2024, Obligasi Berkelanjutan VI Astra Sedaya Finance Tahap III tahun 2024 oleh PT Astra Sedaya Finance mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10633,2024-04-24T00:00:00,ASDF
Pencatatan Obligasi Berkelanjutan I JACCS MPM Finance Indonesia Tahap III Tahun 2024 pada tanggal 22 April 2024,"Pada 22 April 2024, Obligasi Berkelanjutan I JACCS MPM Finance Indonesia Tahap III Tahun 2024 oleh PT JACCS Mitra Pinasthika Mustika Finance mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10631,2024-04-22T00:00:00,MPMF
